    INFO: 2025-11-12 18:02:50,440:               log.py:   20: Logging to C:\Users\inetic_test_area\Documents\Drive_dev_code\FFT-executable-tool\mdpdf.log
   DEBUG: 2025-11-12 18:02:50,441:               cli.py:  103: FFT tool/Alternative_FFT_ref_tool/Original_cogging_FFT_tool/README_Cogging_Analysis.md
    INFO: 2025-11-12 18:02:50,443:         converter.py:   14: FFT tool/Alternative_FFT_ref_tool/Original_cogging_FFT_tool/README_Cogging_Analysis.md
   DEBUG: 2025-11-12 18:02:50,456:      pdf_renderer.py:  470: printSegment: Motor Cogging Analysis — Legacy Data
   DEBUG: 2025-11-12 18:02:50,518:      pdf_renderer.py:  470: printSegment: This folder contains analysis results for cogging torque and voltage oscillations from the 
   DEBUG: 2025-11-12 18:02:50,527:      pdf_renderer.py:  470: printSegment: 085
   DEBUG: 2025-11-12 18:02:50,535:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2025-11-12 18:02:50,540:      pdf_renderer.py:  470: printSegment: 2U
   DEBUG: 2025-11-12 18:02:50,542:      pdf_renderer.py:  470: printSegment:  and 
   DEBUG: 2025-11-12 18:02:50,544:      pdf_renderer.py:  470: printSegment: Syntec
   DEBUG: 2025-11-12 18:02:50,547:      pdf_renderer.py:  470: printSegment: 
   DEBUG: 2025-11-12 18:02:50,548:      pdf_renderer.py:  470: printSegment: motors.
   DEBUG: 2025-11-12 18:02:50,551:      pdf_renderer.py:  470: printSegment: All data were parsed and analyzed by 
   DEBUG: 2025-11-12 18:02:50,556:      pdf_renderer.py:  470: printSegment: Phill Phillipou (2025)
   DEBUG: 2025-11-12 18:02:50,558:      pdf_renderer.py:  470: printSegment:  using the 
   DEBUG: 2025-11-12 18:02:50,562:      pdf_renderer.py:  470: printSegment: cogging.py
   DEBUG: 2025-11-12 18:02:50,570:      pdf_renderer.py:  470: printSegment:  script.
   DEBUG: 2025-11-12 18:02:50,576:      pdf_renderer.py:  470: printSegment: Angular position was derived using the 
   DEBUG: 2025-11-12 18:02:50,579:      pdf_renderer.py:  470: printSegment: arctangent method
   DEBUG: 2025-11-12 18:02:50,590:      pdf_renderer.py:  470: printSegment:  applied to sine and cosine encoder signals - the graphs
   DEBUG: 2025-11-12 18:02:50,593:      pdf_renderer.py:  470: printSegment: were generated by 
   DEBUG: 2025-11-12 18:02:50,595:      pdf_renderer.py:  470: printSegment: Tasin Sayed (2025)
   DEBUG: 2025-11-12 18:02:50,599:      pdf_renderer.py:  470: printSegment:  through a modified version of the cogging.py.
   DEBUG: 2025-11-12 18:02:50,601:      pdf_renderer.py:  470: printSegment: File Overview
   DEBUG: 2025-11-12 18:02:50,625:      pdf_renderer.py:  470: printSegment: The nomenclature of the file names indicate whcih motor and what data is being looked at. It is the prefix which
   DEBUG: 2025-11-12 18:02:50,630:      pdf_renderer.py:  470: printSegment: defines the motor, and suffix whcih defines the type of plot.
   DEBUG: 2025-11-12 18:02:50,632:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-12 18:02:50,636:      pdf_renderer.py:  470: printSegment: *_oscillation_plot
   DEBUG: 2025-11-12 18:02:50,643:      pdf_renderer.py:  470: printSegment:  — Voltage signal oscillations versus angular position (degrees).
